Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_AB30__bad_short	short-only	fake	bad		Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes		Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	fail																																																							
Acinetobacter_AB30__good_short	short-only	fake	good		Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	success	321.1	Acinetobacter_AB30__good_short__Velvet_1.2.10.fasta		318	163	121	96	65	27	4156434	4101903	4002874	3817472	3364327	2068847	195	146110	4125661	39.00	50009	44523	28139	26519	27	30	55	61	0	0	0	10	10	0	0 + 0 part	0	95.019	1.001	87.53	3.20	1.02	146110	4122100	44344	43338	27308	25203	29	32	59	65			no	no	no
Acinetobacter_AB30__medium_short	short-only	fake	medium		Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	success	92.7	Acinetobacter_AB30__medium_short__Velvet_1.2.10.fasta		328	165	121	95	65	27	4155172	4095957	3990685	3801894	3364676	2069218	202	146113	4122826	39.00	50009	44524	28096	26519	27	30	55	61	0	0	0	8	8	0	0 + 0 part	0	94.979	1.001	58.65	3.21	1.07	146113	4120440	44344	43338	27310	25203	28	31	58	64			no	no	no
E_coli_K-12_MG1655__bad_short	short-only	fake	bad		E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes		Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	fail																																																							
E_coli_K-12_MG1655__good_short	short-only	fake	good		E_coli_K-12_MG1655_good_illumina_1.fastq.gz, E_coli_K-12_MG1655_good_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	success	335.2	E_coli_K-12_MG1655__good_short__Velvet_1.2.10.fasta		138	64	48	45	40	27	4581993	4563236	4530184	4506201	4430406	3967856	72	327076	4568828	50.75	176215	176215	88339	87029	10	10	19	20	0	0	0	8	8	0	0 + 0 part	0	98.351	1.001	28.52	2.61	0.66	327076	4566077	129416	125716	78618	78618	12	13	24	24			no	no	no
E_coli_K-12_MG1655__medium_short	short-only	fake	medium		E_coli_K-12_MG1655_medium_illumina_1.fastq.gz, E_coli_K-12_MG1655_medium_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	success	99.4	E_coli_K-12_MG1655__medium_short__Velvet_1.2.10.fasta		142	67	49	46	40	27	4580759	4562598	4525517	4501534	4411266	3948772	75	327076	4568169	50.75	176210	176210	87029	87029	10	10	20	20	0	0	0	19	19	0	0 + 0 part	0	98.349	1.001	36.95	1.64	0.53	327076	4566432	117611	117611	66455	66455	13	13	26	26			no	no	no
E_coli_O25b_H4-ST131__bad_short	short-only	fake	bad		E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes		Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	fail																																																							
E_coli_O25b_H4-ST131__good_short	short-only	fake	good		E_coli_O25b_H4-ST131_good_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_good_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_good_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_good_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	success	397.4	E_coli_O25b_H4-ST131__good_short__Velvet_1.2.10.fasta		185	68	45	36	25	21	5202213	5166849	5107946	5042261	4864700	4711906	89	717432	5180573	50.80	217002	217002	159059	137860	7	7	14	15	2	2	487210	15	17	0	0 + 0 part	0	98.480	1.002	105.05	3.91	1.33	512057	5175272	159059	159059	108954	108954	11	11	21	21			no	no	no
E_coli_O25b_H4-ST131__medium_short	short-only	fake	medium		E_coli_O25b_H4-ST131_medium_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_medium_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_medium_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_medium_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	success	115.1	E_coli_O25b_H4-ST131__medium_short__Velvet_1.2.10.fasta		190	79	51	39	27	23	5196304	5162448	5101932	5019294	4821697	4675264	100	511944	5175899	50.80	203745	203745	123903	123903	8	8	16	16	2	2	487252	15	17	0	0 + 1 part	1396	98.422	1.002	57.98	3.56	0.77	330579	5171004	159059	159059	104309	104309	12	12	23	23			no	no	no
Klebsiella_30660_NJST258_1__bad_short	short-only	fake	bad		Klebsiella_30660_NJST258_1_bad_illumina_1.fastq.gz, Klebsiella_30660_NJST258_1_bad_illumina_2.fastq.gz	Klebsiella_30660_NJST258_1.fasta.gz	5540936	6	5263229, 142788, 73636, 36109, 14249, 10925	1.0, 1.1, 1.2, 1.3, 2.5, 5.0	yes, yes, yes, yes, yes, yes		Velvet		1.2.10	velveth output 63 -shortPaired -fmtAuto -separate /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_bad_illumina_2.fastq.gz; velvetg output -exp_cov auto	63	fail																																																							
