Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_AB30__bad_short	short-only	fake	bad		Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	2873.0	Acinetobacter_AB30__bad_short__Unicycler_normal_0.1.0.fasta	Acinetobacter_AB30__bad_short__Unicycler_normal_0.1.0.gfa	544	229	142	104	63	18	4078687	4011696	3812589	3530023	2851582	1294892	271	132144	4042576	38.95	36097	33325	21065	16723	35	40	71	83	5	5	122663	5	10	0	0 + 2 part	4204	92.947	1.002	0.00	23.60	0.82	132144	4038187	35408	32712	19592	16120	37	41	74	86	40	7.35	no	no	no
Acinetobacter_AB30__good_short	short-only	fake	good		Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	1681.0	Acinetobacter_AB30__good_short__Unicycler_normal_0.1.0.fasta	Acinetobacter_AB30__good_short__Unicycler_normal_0.1.0.gfa	268	162	122	97	65	28	4136227	4104152	4004432	3820116	3356106	2105473	192	146127	4125958	38.99	50016	44359	27882	26526	28	30	56	61	0	0	0	0	0	0	0 + 0 part	0	95.159	1.000	0.00	0.68	0.24	146127	4125958	50016	44359	27882	26526	28	30	56	61	0	0.00	no	no	no
Acinetobacter_AB30__medium_short	short-only	fake	medium		Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	839.8	Acinetobacter_AB30__medium_short__Unicycler_normal_0.1.0.fasta	Acinetobacter_AB30__medium_short__Unicycler_normal_0.1.0.gfa	298	162	124	97	66	26	4128582	4085202	3996824	3796238	3332925	1955807	197	146092	4110836	39.01	44328	43906	27844	25839	29	31	57	63	0	0	0	1	1	0	0 + 0 part	0	94.812	1.000	0.00	4.16	0.22	146092	4110836	44328	43906	27844	25839	29	31	57	63	0	0.00	no	no	no
E_coli_K-12_MG1655__bad_short	short-only	fake	bad		E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	3158.3	E_coli_K-12_MG1655__bad_short__Unicycler_normal_0.1.0.fasta	E_coli_K-12_MG1655__bad_short__Unicycler_normal_0.1.0.gfa	826	258	203	144	57	17	4539887	4500307	4359270	3907675	2507468	1098685	282	94922	4517028	50.74	30532	30142	15279	14169	48	50	104	111	5	5	80726	2	7	0	0 + 0 part	0	97.289	1.000	0.00	10.41	1.31	94922	4516750	30142	26664	15279	14169	49	52	106	113	47	5.40	no	no	no
E_coli_K-12_MG1655__good_short	short-only	fake	good		E_coli_K-12_MG1655_good_illumina_1.fastq.gz, E_coli_K-12_MG1655_good_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	1844.8	E_coli_K-12_MG1655__good_short__Unicycler_normal_0.1.0.fasta	E_coli_K-12_MG1655__good_short__Unicycler_normal_0.1.0.gfa	127	66	49	46	41	28	4572420	4559365	4523631	4499629	4425545	3966453	74	327081	4565111	50.74	175919	148486	87033	82797	10	11	20	21	0	0	0	1	1	0	0 + 0 part	0	98.349	1.000	0.00	0.72	0.02	327081	4565108	147029	147029	82797	78620	11	11	21	22	0	0.00	no	no	no
E_coli_K-12_MG1655__medium_short	short-only	fake	medium		E_coli_K-12_MG1655_medium_illumina_1.fastq.gz, E_coli_K-12_MG1655_medium_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	961.5	E_coli_K-12_MG1655__medium_short__Unicycler_normal_0.1.0.fasta	E_coli_K-12_MG1655__medium_short__Unicycler_normal_0.1.0.gfa	136	65	48	45	40	27	4567673	4552056	4512484	4488579	4414265	3961613	75	327050	4559370	50.74	175708	175708	88309	87000	10	10	19	20	0	0	0	3	3	0	0 + 0 part	0	98.225	1.000	0.00	1.29	0.09	327050	4559370	174638	174638	87000	78594	10	10	20	21	0	0.00	no	no	no
E_coli_O25b_H4-ST131__bad_short	short-only	fake	bad		E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	3629.9	E_coli_O25b_H4-ST131__bad_short__Unicycler_normal_0.1.0.fasta	E_coli_O25b_H4-ST131__bad_short__Unicycler_normal_0.1.0.gfa	469	162	112	92	54	34	5069399	5013602	4899989	4758087	4151866	3429341	201	222689	5042380	50.76	80681	74631	36028	32500	20	22	43	47	5	5	307556	11	16	0	0 + 0 part	0	96.017	1.000	0.00	11.31	0.60	222689	5042065	72476	72072	34039	29702	23	24	48	53	57	12.03	no	no	no
E_coli_O25b_H4-ST131__good_short	short-only	fake	good		E_coli_O25b_H4-ST131_good_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_good_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_good_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	2136.0	E_coli_O25b_H4-ST131__good_short__Unicycler_normal_0.1.0.fasta	E_coli_O25b_H4-ST131__good_short__Unicycler_normal_0.1.0.gfa	109	60	40	32	24	19	5179676	5162605	5106379	5047369	4908840	4716783	77	709716	5174360	50.80	335026	335026	159062	159062	6	6	12	12	0	0	0	1	1	0	0 + 0 part	0	98.569	1.000	0.00	0.37	0.06	709716	5174358	335026	335026	142746	142746	6	6	12	12	0	0.00	no	no	no
E_coli_O25b_H4-ST131__medium_short	short-only	fake	medium		E_coli_O25b_H4-ST131_medium_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_medium_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_medium_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	1057.2	E_coli_O25b_H4-ST131__medium_short__Unicycler_normal_0.1.0.fasta	E_coli_O25b_H4-ST131__medium_short__Unicycler_normal_0.1.0.gfa	156	80	49	36	24	20	5172408	5151912	5071813	4976863	4774840	4627669	99	709690	5164172	50.80	216997	216997	159029	159029	7	7	14	14	0	0	0	2	2	0	0 + 0 part	0	98.375	1.000	0.00	2.71	0.27	709690	5164172	216997	216997	142730	142730	7	7	14	14	0	0.00	no	no	no
Klebsiella_30660_NJST258_1__bad_short	short-only	fake	bad		Klebsiella_30660_NJST258_1_bad_illumina_1.fastq.gz, Klebsiella_30660_NJST258_1_bad_illumina_2.fastq.gz	Klebsiella_30660_NJST258_1.fasta.gz	5540936	6	5263229, 142788, 73636, 36109, 14249, 10925	1.0, 1.1, 1.2, 1.3, 2.5, 5.0	yes, yes, yes, yes, yes, yes	57.16	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_bad_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	4211.2	Klebsiella_30660_NJST258_1__bad_short__Unicycler_normal_0.1.0.fasta	Klebsiella_30660_NJST258_1__bad_short__Unicycler_normal_0.1.0.gfa	629	178	129	101	62	31	5404612	5360384	5246537	5041732	4377007	3261141	200	269893	5376277	57.22	72001	67318	32967	31685	22	23	51	54	0	0	0	2	2	0	0 + 0 part	0	97.011	1.000	0.00	7.31	0.50	269893	5376248	72001	67318	32967	30922	22	23	51	55	40	6.28	no	no	no
Klebsiella_30660_NJST258_1__good_short	short-only	fake	good		Klebsiella_30660_NJST258_1_good_illumina_1.fastq.gz, Klebsiella_30660_NJST258_1_good_illumina_2.fastq.gz	Klebsiella_30660_NJST258_1.fasta.gz	5540936	6	5263229, 142788, 73636, 36109, 14249, 10925	1.0, 1.1, 1.2, 1.3, 2.5, 5.0	yes, yes, yes, yes, yes, yes	57.16	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_good_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	2218.1	Klebsiella_30660_NJST258_1__good_short__Unicycler_normal_0.1.0.fasta	Klebsiella_30660_NJST258_1__good_short__Unicycler_normal_0.1.0.gfa	121	63	44	37	31	26	5461891	5449258	5402016	5344558	5237695	5088884	72	545459	5456048	57.23	237633	237633	154718	113506	8	8	15	16	0	0	0	0	0	0	0 + 0 part	0	98.468	1.000	0.00	0.38	0.02	545459	5456048	237633	237633	154718	113506	8	8	15	16	0	0.00	no	no	no
Klebsiella_30660_NJST258_1__medium_short	short-only	fake	medium		Klebsiella_30660_NJST258_1_medium_illumina_1.fastq.gz, Klebsiella_30660_NJST258_1_medium_illumina_2.fastq.gz	Klebsiella_30660_NJST258_1.fasta.gz	5540936	6	5263229, 142788, 73636, 36109, 14249, 10925	1.0, 1.1, 1.2, 1.3, 2.5, 5.0	yes, yes, yes, yes, yes, yes	57.16	Unicycler	normal	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_medium_illumina_2.fastq.gz --no_long -o output --mode normal --threads 8	auto	success	1098.0	Klebsiella_30660_NJST258_1__medium_short__Unicycler_normal_0.1.0.fasta	Klebsiella_30660_NJST258_1__medium_short__Unicycler_normal_0.1.0.gfa	138	68	46	39	31	26	5458345	5445502	5396523	5339455	5205992	5057444	75	545298	5450534	57.23	237599	237599	154686	113473	8	8	15	16	0	0	0	0	0	0	0 + 0 part	0	98.368	1.000	0.00	0.48	0.00	545298	5450534	237599	237599	154686	113473	8	8	15	16	2	1.45	no	no	no
