Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_A1__bad_short	short-only	fake	bad		Acinetobacter_A1_bad_illumina_1.fastq.gz, Acinetobacter_A1_bad_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1075.9	Acinetobacter_A1__bad_short__SPAdes_before_rr_3.9.1.fasta	Acinetobacter_A1__bad_short__SPAdes_before_rr_3.9.1.fastg	311	111	85	73	45	24	3830547	3800098	3738652	3657764	3209866	2449819	121	376054	3806611	39.10	66955	66895	37347	35099	15	16	34	36	1	1	28518	3	4	0	0 + 0 part	0	97.043	1.001	0.00	20.57	0.42	376048	3806184	66890	66041	35698	33730	16	17	35	38	118	37.94	no	no	no
Acinetobacter_A1__good_short	short-only	fake	good		Acinetobacter_A1_good_illumina_1.fastq.gz, Acinetobacter_A1_good_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	855.8	Acinetobacter_A1__good_short__SPAdes_before_rr_3.9.1.fasta	Acinetobacter_A1__good_short__SPAdes_before_rr_3.9.1.fastg	277	70	57	51	40	24	3850186	3816937	3785751	3741623	3571505	2968365	79	380847	3822849	39.12	102677	102677	51379	50410	10	10	23	24	0	0	0	0	0	0	0 + 0 part	0	97.516	1.001	0.00	0.08	0.13	380847	3822575	102677	102677	51379	50136	10	10	23	24	0	0.00	no	no	no
Acinetobacter_A1__medium_short	short-only	fake	medium		Acinetobacter_A1_medium_illumina_1.fastq.gz, Acinetobacter_A1_medium_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	279.7	Acinetobacter_A1__medium_short__SPAdes_before_rr_3.9.1.fasta	Acinetobacter_A1__medium_short__SPAdes_before_rr_3.9.1.fastg	374	88	69	61	45	24	3844427	3803213	3755474	3696581	3436911	2672007	102	379672	3813219	39.10	78546	78546	43124	41325	13	13	29	31	0	0	0	0	0	0	0 + 0 part	0	97.282	1.001	0.00	1.42	0.03	379672	3813167	78546	78546	43124	41325	13	13	29	31	0	0.00	no	no	no
Acinetobacter_AB30__bad_short	short-only	fake	bad		Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1353.8	Acinetobacter_AB30__bad_short__SPAdes_before_rr_3.9.1.fasta	Acinetobacter_AB30__bad_short__SPAdes_before_rr_3.9.1.fastg	720	275	155	114	59	15	4103246	3991477	3716959	3411493	2520657	1036801	361	132207	4053310	38.96	30215	28118	16281	12582	41	46	85	100	4	4	37470	3	7	0	0 + 0 part	0	93.257	1.002	0.00	37.17	0.47	132207	4052031	29250	27296	15371	12209	42	47	87	103	207	28.75	no	no	no
Acinetobacter_AB30__good_short	short-only	fake	good		Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	899.1	Acinetobacter_AB30__good_short__SPAdes_before_rr_3.9.1.fasta	Acinetobacter_AB30__good_short__SPAdes_before_rr_3.9.1.fastg	738	248	143	112	63	19	4158341	4036655	3792779	3567998	2812940	1313401	332	132251	4094393	38.97	35521	32647	18800	14955	37	41	75	86	0	0	0	0	0	0	0 + 0 part	0	94.263	1.002	0.00	1.66	0.10	132251	4094390	35521	32647	18800	14955	37	41	75	86	0	0.00	no	no	no
Acinetobacter_AB30__medium_short	short-only	fake	medium		Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	354.8	Acinetobacter_AB30__medium_short__SPAdes_before_rr_3.9.1.fasta	Acinetobacter_AB30__medium_short__SPAdes_before_rr_3.9.1.fastg	927	259	149	112	57	17	4141850	3992846	3735495	3456712	2562361	1177046	339	132207	4049465	38.95	32603	30215	16630	13014	39	43	80	94	0	0	0	0	0	0	0 + 0 part	0	93.306	1.001	0.00	1.38	0.00	132207	4049461	32603	30215	16630	13014	39	43	80	94	0	0.00	no	no	no
E_coli_K-12_MG1655__bad_short	short-only	fake	bad		E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1472.3	E_coli_K-12_MG1655__bad_short__SPAdes_before_rr_3.9.1.fasta	E_coli_K-12_MG1655__bad_short__SPAdes_before_rr_3.9.1.fastg	447	257	193	143	60	18	4571504	4534569	4378517	3982082	2685233	1223017	277	107462	4549651	50.74	30849	30672	15507	14561	46	48	98	103	3	3	30344	4	7	0	0 + 0 part	0	97.766	1.003	0.00	27.22	0.15	107459	4548795	30849	30329	15093	14285	46	48	100	104	299	66.89	no	no	no
E_coli_K-12_MG1655__good_short	short-only	fake	good		E_coli_K-12_MG1655_good_illumina_1.fastq.gz, E_coli_K-12_MG1655_good_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	961.8	E_coli_K-12_MG1655__good_short__SPAdes_before_rr_3.9.1.fasta	E_coli_K-12_MG1655__good_short__SPAdes_before_rr_3.9.1.fastg	352	115	85	76	56	32	4587916	4545218	4477279	4406222	4085089	3221931	127	327107	4553555	50.75	78648	78648	43326	42010	17	17	37	38	0	0	0	0	0	0	0 + 0 part	0	98.056	1.000	0.00	0.40	0.02	327107	4553555	78648	78648	43326	42010	17	17	37	38	0	0.00	no	no	no
E_coli_K-12_MG1655__medium_short	short-only	fake	medium		E_coli_K-12_MG1655_medium_illumina_1.fastq.gz, E_coli_K-12_MG1655_medium_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	371.9	E_coli_K-12_MG1655__medium_short__SPAdes_before_rr_3.9.1.fasta	E_coli_K-12_MG1655__medium_short__SPAdes_before_rr_3.9.1.fastg	423	138	100	83	60	32	4577646	4536618	4447372	4314702	3955522	2952751	149	269798	4544251	50.75	60768	60768	39099	35764	21	21	43	45	0	0	0	0	0	0	0 + 0 part	0	97.860	1.000	0.00	0.46	0.02	269798	4544251	60768	60768	39099	35764	21	21	43	45	0	0.00	no	no	no
E_coli_O25b_H4-ST131__bad_short	short-only	fake	bad		E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	SPAdes	before_rr	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1709.5	E_coli_O25b_H4-ST131__bad_short__SPAdes_before_rr_3.9.1.fasta	E_coli_O25b_H4-ST131__bad_short__SPAdes_before_rr_3.9.1.fastg	485	252	165	119	63	30	5146286	5091303	4876757	4545104	3623237	2497801	284	168349	5113422	50.78	46187	45801	21668	21268	32	33	73	77	1	1	60321	3	4	0	1 + 0 part	1099	97.185	1.002	0.00	30.44	0.55	168343	5111533	46187	45801	21665	19755	32	33	73	78	260	53.61	no	no	no
