Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_AB30__bad_short__bad_long	hybrid	fake	bad	bad	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --mode normal --threads 8	auto	success	4691.6	Acinetobacter_AB30__bad_short__bad_long__Unicycler_normal_0.2.0.fasta	Acinetobacter_AB30__bad_short__bad_long__Unicycler_normal_0.2.0.gfa	176	44	23	20	16	15	4391292	4364789	4324986	4298468	4228357	4183246	59	813333	4375907	39.02	359382	359382	222072	222072	5	5	8	8	4	3	1434304	13	17	1	0 + 3 part	81945	97.446	1.016	0.00	120.33	143.50	399064	4290071	199673	199673	123252	123252	8	8	15	15	45	25.57	no	no	no
Acinetobacter_AB30__bad_short__good_long	hybrid	fake	bad	good	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz -o output --mode normal --threads 8	auto	success	11243.1	Acinetobacter_AB30__bad_short__good_long__Unicycler_normal_0.2.0.fasta	Acinetobacter_AB30__bad_short__good_long__Unicycler_normal_0.2.0.gfa	149	31	19	12	7	7	4467241	4446061	4425406	4370238	4298042	4298042	43	1004465	4454677	39.02	789583	789583	769917	769917	3	3	4	4	4	2	1184101	12	16	0	0 + 0 part	0	99.406	1.034	0.00	33.04	5.24	583402	4452907	342900	342900	189332	191489	5	5	10	9	39	26.17	no	no	no
Acinetobacter_AB30__bad_short__medium_long	hybrid	fake	bad	medium	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz -o output --mode normal --threads 8	auto	success	5602.7	Acinetobacter_AB30__bad_short__medium_long__Unicycler_normal_0.2.0.fasta	Acinetobacter_AB30__bad_short__medium_long__Unicycler_normal_0.2.0.gfa	156	35	20	15	11	11	4438518	4413703	4384138	4344511	4281087	4281087	51	892518	4425197	39.03	716108	716108	335499	335499	3	3	6	6	2	2	63112	12	14	0	0 + 1 part	14261	99.179	1.026	0.00	85.30	130.85	500077	4407581	269086	269086	172229	178533	6	6	12	11	37	23.72	no	no	no
Acinetobacter_AB30__good_short__bad_long	hybrid	fake	good	bad	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --mode normal --threads 8	auto	success	3324.3	Acinetobacter_AB30__good_short__bad_long__Unicycler_normal_0.2.0.fasta	Acinetobacter_AB30__good_short__bad_long__Unicycler_normal_0.2.0.gfa	52	15	5	4	4	4	4334132	4324624	4298269	4290094	4290094	4290094	23	1900559	4331213	39.04	1567317	1567317	1567317	1567317	2	2	2	2	1	1	1567317	2	3	0	0 + 1 part	822	99.465	1.004	0.00	5.22	0.35	1621818	4330158	957610	957610	379373	379373	2	2	4	4	0	0.00	no	no	no
Acinetobacter_AB30__good_short__good_long	hybrid	fake	good	good	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz -o output --mode normal --threads 8	auto	success	11721.3	Acinetobacter_AB30__good_short__good_long__Unicycler_normal_0.2.0.fasta	Acinetobacter_AB30__good_short__good_long__Unicycler_normal_0.2.0.gfa	1	1	1	1	1	1	4335781	4335781	4335781	4335781	4335781	4335781	1	4335781	4335781	39.04	4335781	4335781	4335781	4335781	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	3.25	0.23	4335781	4335781	4335781	4335781	4335781	4335781	1	1	1	1	0	0.00	yes	yes	no
Acinetobacter_AB30__good_short__medium_long	hybrid	fake	good	medium	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz -o output --mode normal --threads 8	auto	success	4897.3	Acinetobacter_AB30__good_short__medium_long__Unicycler_normal_0.2.0.fasta	Acinetobacter_AB30__good_short__medium_long__Unicycler_normal_0.2.0.gfa	1	1	1	1	1	1	4335775	4335775	4335775	4335775	4335775	4335775	1	4335775	4335775	39.04	4335775	4335775	4335775	4335775	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	3.25	0.23	4335775	4335775	4335775	4335775	4335775	4335775	1	1	1	1	0	0.00	yes	yes	no
Acinetobacter_AB30__medium_short__bad_long	hybrid	fake	medium	bad	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --mode normal --threads 8	auto	success	4284.6	Acinetobacter_AB30__medium_short__bad_long__Unicycler_normal_0.2.0.fasta	Acinetobacter_AB30__medium_short__bad_long__Unicycler_normal_0.2.0.gfa	60	14	7	5	4	4	4347653	4337116	4322177	4305286	4283914	4283914	22	1900526	4343182	39.05	1562337	1562337	1562337	1562337	2	2	2	2	1	1	21372	2	3	0	0 + 1 part	822	99.673	1.005	0.00	21.38	0.86	1621802	4342023	1562337	1562337	461935	461935	2	2	3	3	0	0.00	no	no	no
Acinetobacter_AB30__medium_short__good_long	hybrid	fake	medium	good	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz -o output --mode normal --threads 8	auto	success	11760.2	Acinetobacter_AB30__medium_short__good_long__Unicycler_normal_0.2.0.fasta	Acinetobacter_AB30__medium_short__good_long__Unicycler_normal_0.2.0.gfa	31	7	1	1	1	1	4334801	4327872	4314818	4314818	4314818	4314818	12	4314818	4331524	39.04	4314818	4314818	4314818	4314818	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	99.659	1.002	0.00	3.15	0.35	4314818	4331524	4314818	4314818	4314818	4314818	1	1	1	1	1	3.23	no	no	no
Acinetobacter_AB30__medium_short__medium_long	hybrid	fake	medium	medium	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz -o output --mode normal --threads 8	auto	success	5827.1	Acinetobacter_AB30__medium_short__medium_long__Unicycler_normal_0.2.0.fasta	Acinetobacter_AB30__medium_short__medium_long__Unicycler_normal_0.2.0.gfa	15	3	1	1	1	1	4352173	4350091	4346003	4346003	4346003	4346003	5	4346003	4351957	39.05	4346003	4346003	4346003	4346003	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	100.000	1.004	0.00	3.07	0.53	4346003	4351957	4346003	4346003	4346003	4346003	1	1	1	1	1	6.67	no	no	no
E_coli_K-12_MG1655__bad_short__bad_long	hybrid	fake	bad	bad	E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz, E_coli_K-12_MG1655_bad_long.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Unicycler	normal	0.2.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_long.fastq.gz -o output --mode normal --threads 8	auto	success	3036.4	E_coli_K-12_MG1655__bad_short__bad_long__Unicycler_normal_0.2.0.fasta	E_coli_K-12_MG1655__bad_short__bad_long__Unicycler_normal_0.2.0.gfa	71	51	42	34	20	18	4862004	4858133	4839185	4778402	4576485	4493244	54	895762	4860361	50.84	320637	320637	200288	200288	5	5	10	10	1	1	355241	14	15	0	0 + 5 part	62141	99.948	1.034	0.00	135.52	260.28	566902	4798146	200286	200286	77851	104908	9	9	18	16	84	118.31	no	no	no
