Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_A1__bad_short	short-only	fake	bad		Acinetobacter_A1_bad_illumina_1.fastq.gz, Acinetobacter_A1_bad_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes		ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	fail																																																							
Acinetobacter_A1__good_short	short-only	fake	good		Acinetobacter_A1_good_illumina_1.fastq.gz, Acinetobacter_A1_good_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	success	801.4	Acinetobacter_A1__good_short__ABySS_scaffolds_2.0.2.fasta	Acinetobacter_A1__good_short__ABySS_scaffolds_2.0.2.gfa	111	24	22	19	18	16	3986370	3974728	3968482	3943471	3925553	3840866	27	483686	3977002	39.34	356338	356338	200528	200528	5	5	9	9	1	1	317072	1	2	0	0 + 0 part	0	99.477	1.020	10.79	2.64	0.28	483686	3976513	356338	356338	197282	197282	5	5	9	9	6	5.41	no	no	no
Acinetobacter_A1__medium_short	short-only	fake	medium		Acinetobacter_A1_medium_illumina_1.fastq.gz, Acinetobacter_A1_medium_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	success	184.5	Acinetobacter_A1__medium_short__ABySS_scaffolds_2.0.2.fasta	Acinetobacter_A1__medium_short__ABySS_scaffolds_2.0.2.gfa	107	27	25	22	21	18	3979789	3969338	3963092	3938081	3920163	3802915	30	483684	3971612	39.33	355405	355405	170225	170225	5	5	10	10	0	0	0	0	0	0	0 + 0 part	0	99.509	1.019	0.91	3.18	0.38	483684	3971552	355405	355405	170225	170225	5	5	10	10	7	6.54	no	no	no
Acinetobacter_AB30__bad_short	short-only	fake	bad		Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes		ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	fail																																																							
Acinetobacter_AB30__good_short	short-only	fake	good		Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	success	928.4	Acinetobacter_AB30__good_short__ABySS_scaffolds_2.0.2.fasta	Acinetobacter_AB30__good_short__ABySS_scaffolds_2.0.2.gfa	392	157	131	104	68	24	4378073	4317791	4226885	4029539	3482275	1934412	189	147341	4341633	39.06	44236	44236	28876	28876	30	30	60	60	10	7	369311	1	11	0	0 + 0 part	0	97.558	1.026	25.11	16.60	0.47	147341	4340866	42662	42662	28277	28277	31	31	63	63	117	29.85	no	no	no
Acinetobacter_AB30__medium_short	short-only	fake	medium		Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	success	207.1	Acinetobacter_AB30__medium_short__ABySS_scaffolds_2.0.2.fasta	Acinetobacter_AB30__medium_short__ABySS_scaffolds_2.0.2.gfa	386	163	128	105	68	25	4409891	4349298	4221008	4053673	3500094	1969954	199	147772	4375877	39.01	45262	45262	29295	29521	30	30	60	59	7	4	225471	2	9	0	0 + 0 part	0	97.754	1.032	14.42	15.55	0.42	147772	4375307	41684	41684	26768	28749	32	32	64	63	68	17.62	no	no	no
E_coli_K-12_MG1655__bad_short	short-only	fake	bad		E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes		ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	fail																																																							
E_coli_K-12_MG1655__good_short	short-only	fake	good		E_coli_K-12_MG1655_good_illumina_1.fastq.gz, E_coli_K-12_MG1655_good_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	success	1046.0	E_coli_K-12_MG1655__good_short__ABySS_scaffolds_2.0.2.fasta	E_coli_K-12_MG1655__good_short__ABySS_scaffolds_2.0.2.gfa	173	58	52	46	41	28	4641476	4621088	4603567	4563200	4495751	4038271	63	328378	4624907	50.79	171559	171559	88204	88204	10	10	20	20	4	2	289373	3	7	0	0 + 0 part	0	99.087	1.006	18.03	2.65	0.17	328378	4624270	150749	150749	80392	80392	11	11	22	22	76	43.93	no	no	no
E_coli_K-12_MG1655__medium_short	short-only	fake	medium		E_coli_K-12_MG1655_medium_illumina_1.fastq.gz, E_coli_K-12_MG1655_medium_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	success	219.0	E_coli_K-12_MG1655__medium_short__ABySS_scaffolds_2.0.2.fasta	E_coli_K-12_MG1655__medium_short__ABySS_scaffolds_2.0.2.gfa	177	64	56	50	43	28	4643737	4624473	4605742	4565375	4458813	3925998	69	328378	4628292	50.78	150749	150749	83983	80392	11	11	21	22	2	2	223383	2	4	0	0 + 0 part	0	99.115	1.006	12.16	3.00	0.09	328378	4627845	141304	135012	80392	69072	11	12	22	23	67	37.85	no	no	no
E_coli_O25b_H4-ST131__bad_short	short-only	fake	bad		E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes		ABySS	scaffolds	2.0.2	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-scaffolds.fa) run-scaffolds.fa; cp --remove-destination $(readlink run-scaffolds.gfa) run-scaffolds.gfa	64	fail																																																							
