Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_AB30__bad_short	short-only	fake	bad		Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1067.6	Acinetobacter_AB30__bad_short__SPAdes_scaffolds_3.9.1.fasta		308	209	131	100	67	20	4090570	4049113	3866280	3635745	3124894	1479053	248	132230	4076701	39.00	41623	38663	25288	21183	33	36	65	73	9	7	164873	10	19	0	0 + 1 part	655	93.805	1.002	19.30	230.11	1.25	132230	4072865	37324	35481	22513	16293	36	39	71	81			no	no	no
Acinetobacter_AB30__good_short	short-only	fake	good		Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	760.1	Acinetobacter_AB30__good_short__SPAdes_scaffolds_3.9.1.fasta		261	181	128	99	66	26	4135694	4099031	3979526	3764884	3268641	1901776	216	146160	4124156	38.98	43964	43425	27346	25285	30	32	60	66	1	1	9759	4	5	0	0 + 0 part	0	95.014	1.001	0.00	3.96	0.17	146160	4124156	43650	42548	27137	24472	31	33	61	67			no	no	no
Acinetobacter_AB30__medium_short	short-only	fake	medium		Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	303.6	Acinetobacter_AB30__medium_short__SPAdes_scaffolds_3.9.1.fasta		318	180	131	103	68	23	4123354	4071630	3961540	3756985	3231887	1670864	221	146116	4100580	38.98	41623	39801	27302	23758	32	35	62	69	1	1	1448	5	6	0	0 + 0 part	0	94.501	1.001	0.00	4.71	0.76	146116	4100568	40391	39402	25882	21239	33	36	64	72			no	no	no
E_coli_K-12_MG1655__bad_short	short-only	fake	bad		E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1145.7	E_coli_K-12_MG1655__bad_short__SPAdes_scaffolds_3.9.1.fasta		146	103	81	67	51	29	4555861	4545651	4495057	4388892	4131278	3296955	110	269782	4550698	50.74	95718	95229	47372	46713	16	17	32	33	6	5	267990	8	14	0	0 + 1 part	644	97.969	1.001	2.02	219.91	0.70	269779	4549244	80783	80783	42512	42046	19	19	38	40			no	no	no
E_coli_K-12_MG1655__good_short	short-only	fake	good		E_coli_K-12_MG1655_good_illumina_1.fastq.gz, E_coli_K-12_MG1655_good_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	808.2	E_coli_K-12_MG1655__good_short__SPAdes_scaffolds_3.9.1.fasta		111	66	48	45	40	27	4576215	4561665	4521566	4497466	4423420	3969826	78	327173	4570188	50.75	175988	175988	88690	87109	10	10	19	20	0	0	0	16	16	0	0 + 0 part	0	98.387	1.001	2.23	1.16	0.13	327173	4570131	117661	117661	61301	57964	13	13	26	27			no	no	no
E_coli_K-12_MG1655__medium_short	short-only	fake	medium		E_coli_K-12_MG1655_medium_illumina_1.fastq.gz, E_coli_K-12_MG1655_medium_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	323.4	E_coli_K-12_MG1655__medium_short__SPAdes_scaffolds_3.9.1.fasta		144	75	55	51	45	30	4569782	4554928	4512258	4482729	4395918	3870929	83	327160	4560633	50.75	133243	133243	67394	64979	11	11	23	24	0	0	0	12	12	0	0 + 0 part	0	98.205	1.001	1.12	1.89	0.31	269983	4560631	112945	112393	57177	54881	13	14	28	29			no	no	no
E_coli_O25b_H4-ST131__bad_short	short-only	fake	bad		E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1327.7	E_coli_O25b_H4-ST131__bad_short__SPAdes_scaffolds_3.9.1.fasta		190	116	71	55	40	32	5134079	5109701	4990618	4877516	4614237	4340078	132	319162	5120744	50.78	138359	135260	85064	76903	13	14	25	26	7	7	262705	12	19	0	0 + 0 part	0	97.479	1.001	8.59	174.43	1.49	242538	5119938	117007	113019	74962	67073	16	17	29	31			no	no	no
E_coli_O25b_H4-ST131__good_short	short-only	fake	good		E_coli_O25b_H4-ST131_good_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_good_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_good_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	964.7	E_coli_O25b_H4-ST131__good_short__SPAdes_scaffolds_3.9.1.fasta		155	84	52	39	26	22	5174177	5143540	5061363	4970949	4764814	4618092	114	512424	5163669	50.80	217056	217056	136519	124085	8	8	15	16	1	1	334261	7	8	0	0 + 0 part	0	98.257	1.001	15.47	2.42	0.50	369823	5162869	175903	175903	104009	104009	11	11	21	21			no	no	no
E_coli_O25b_H4-ST131__medium_short	short-only	fake	medium		E_coli_O25b_H4-ST131_medium_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_medium_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_medium_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	369.0	E_coli_O25b_H4-ST131__medium_short__SPAdes_scaffolds_3.9.1.fasta		197	88	53	41	28	23	5163368	5128732	5047244	4959683	4751091	4571654	111	339653	5144863	50.79	191412	190918	141943	136475	9	10	17	18	0	0	0	10	10	0	0 + 0 part	0	97.943	1.001	6.86	4.53	0.64	339653	5144489	186661	186661	102958	99795	11	11	20	21			no	no	no
Klebsiella_30660_NJST258_1__bad_short	short-only	fake	bad		Klebsiella_30660_NJST258_1_bad_illumina_1.fastq.gz, Klebsiella_30660_NJST258_1_bad_illumina_2.fastq.gz	Klebsiella_30660_NJST258_1.fasta.gz	5540936	6	5263229, 142788, 73636, 36109, 14249, 10925	1.0, 1.1, 1.2, 1.3, 2.5, 5.0	yes, yes, yes, yes, yes, yes	57.16	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_30660_NJST258_1/Klebsiella_30660_NJST258_1_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1507.6	Klebsiella_30660_NJST258_1__bad_short__SPAdes_scaffolds_3.9.1.fasta		201	111	83	71	52	36	5439825	5417624	5342807	5243671	4897520	4387352	123	332526	5426244	57.20	124847	115460	58526	58371	15	16	31	32	11	10	746613	9	20	0	0 + 1 part	1305	97.780	1.001	4.61	233.69	1.40	270132	5423472	104948	104948	51929	50945	17	17	35	36			no	no	no
