Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_A1__bad_short__bad_long	hybrid	fake	bad	bad	Acinetobacter_A1_bad_illumina_1.fastq.gz, Acinetobacter_A1_bad_illumina_2.fastq.gz, Acinetobacter_A1_bad_long.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_long.fastq.gz -o output --careful --threads 8	auto	success	1121.0	Acinetobacter_A1__bad_short__bad_long__SPAdes_scaffolds_3.9.1.fasta		99	39	33	29	24	22	3847086	3839422	3825690	3794809	3702397	3626261	40	379573	3840037	39.20	214121	214121	126459	126459	7	7	13	13	6	6	1095578	6	12	0	0 + 0 part	0	97.810	1.002	4.27	188.18	24.35	379573	3837891	184059	184059	77789	73961	8	8	16	17			no	no	no
Acinetobacter_A1__bad_short__good_long	hybrid	fake	bad	good	Acinetobacter_A1_bad_illumina_1.fastq.gz, Acinetobacter_A1_bad_illumina_2.fastq.gz, Acinetobacter_A1_good_long.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes		SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_long.fastq.gz -o output --careful --threads 8	auto	fail																																																							
Acinetobacter_A1__bad_short__medium_long	hybrid	fake	bad	medium	Acinetobacter_A1_bad_illumina_1.fastq.gz, Acinetobacter_A1_bad_illumina_2.fastq.gz, Acinetobacter_A1_medium_long.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_long.fastq.gz -o output --careful --threads 8	auto	success	1358.9	Acinetobacter_A1__bad_short__medium_long__SPAdes_scaffolds_3.9.1.fasta		99	34	30	28	24	21	3927769	3920042	3907720	3890996	3820585	3688060	35	448071	3920657	39.21	253007	253007	119636	119636	6	6	11	11	5	4	871907	7	12	0	0 + 1 part	16651	98.329	1.013	4.18	261.15	58.25	448069	3903592	199376	199376	80791	80791	7	7	15	15			no	no	no
Acinetobacter_A1__good_short__bad_long	hybrid	fake	good	bad	Acinetobacter_A1_good_illumina_1.fastq.gz, Acinetobacter_A1_good_illumina_2.fastq.gz, Acinetobacter_A1_bad_long.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_long.fastq.gz -o output --careful --threads 8	auto	success	875.0	Acinetobacter_A1__good_short__bad_long__SPAdes_scaffolds_3.9.1.fasta		57	8	6	5	5	5	3870552	3864542	3859840	3851032	3851032	3851032	8	1685412	3864542	39.23	1013131	1013131	529303	529303	2	2	3	3	1	1	1685412	1	2	0	0 + 0 part	0	98.638	1.000	0.00	2.74	0.28	1491654	3864542	1013131	1013131	426544	367352	2	2	3	4			no	no	no
Acinetobacter_A1__good_short__good_long	hybrid	fake	good	good	Acinetobacter_A1_good_illumina_1.fastq.gz, Acinetobacter_A1_good_illumina_2.fastq.gz, Acinetobacter_A1_good_long.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_long.fastq.gz -o output --careful --threads 8	auto	success	1178.1	Acinetobacter_A1__good_short__good_long__SPAdes_scaffolds_3.9.1.fasta		44	11	10	8	6	4	3885564	3881143	3878931	3862244	3829742	3754206	11	3447701	3881143	39.29	3447701	3447701	3447701	3447701	1	1	1	1	0	0	0	2	2	0	0 + 0 part	0	99.053	1.000	3.43	7.52	0.39	3447701	3881010	3447701	3447701	3447701	3447701	1	1	1	1			no	no	no
Acinetobacter_A1__good_short__medium_long	hybrid	fake	good	medium	Acinetobacter_A1_good_illumina_1.fastq.gz, Acinetobacter_A1_good_illumina_2.fastq.gz, Acinetobacter_A1_medium_long.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_long.fastq.gz -o output --careful --threads 8	auto	success	948.7	Acinetobacter_A1__good_short__medium_long__SPAdes_scaffolds_3.9.1.fasta		45	6	3	2	2	2	3878688	3874181	3868763	3859955	3859955	3859955	6	1939897	3874181	39.25	1939897	1920058	1920058	1920058	1	2	2	2	0	0	0	0	0	0	0 + 0 part	0	98.854	1.000	0.00	1.55	0.18	1939897	3874173	1939897	1920058	1920058	1920058	1	2	2	2			no	no	no
Acinetobacter_A1__medium_short__bad_long	hybrid	fake	medium	bad	Acinetobacter_A1_medium_illumina_1.fastq.gz, Acinetobacter_A1_medium_illumina_2.fastq.gz, Acinetobacter_A1_bad_long.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_long.fastq.gz -o output --careful --threads 8	auto	success	428.6	Acinetobacter_A1__medium_short__bad_long__SPAdes_scaffolds_3.9.1.fasta		52	10	7	6	6	6	3871431	3866771	3859519	3850766	3850766	3850766	10	1396599	3866771	39.24	1013087	1013087	529278	529278	2	2	3	3	1	1	521401	1	2	0	1 + 0 part	1783	98.650	1.000	0.00	1.45	0.39	1396599	3864936	1013087	1013087	354948	354948	2	2	4	4			no	no	no
Acinetobacter_A1__medium_short__good_long	hybrid	fake	medium	good	Acinetobacter_A1_medium_illumina_1.fastq.gz, Acinetobacter_A1_medium_illumina_2.fastq.gz, Acinetobacter_A1_good_long.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_long.fastq.gz -o output --careful --threads 8	auto	success	634.9	Acinetobacter_A1__medium_short__good_long__SPAdes_scaffolds_3.9.1.fasta		18	7	5	2	2	2	3889766	3888539	3883550	3861825	3861825	3861825	7	1943159	3888539	39.31	1918666	1918666	1918666	1918666	2	2	2	2	0	0	0	0	0	0	0 + 0 part	0	99.104	1.002	0.00	3.35	0.13	1943159	3888487	1918666	1918666	1918666	1918666	2	2	2	2			no	no	no
Acinetobacter_A1__medium_short__medium_long	hybrid	fake	medium	medium	Acinetobacter_A1_medium_illumina_1.fastq.gz, Acinetobacter_A1_medium_illumina_2.fastq.gz, Acinetobacter_A1_medium_long.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_long.fastq.gz -o output --careful --threads 8	auto	success	611.0	Acinetobacter_A1__medium_short__medium_long__SPAdes_scaffolds_3.9.1.fasta		29	5	4	2	2	2	3880108	3874122	3872694	3858468	3858468	3858468	10	1939802	3877425	39.27	1939802	1918666	1918666	1918666	1	2	2	2	1	1	1918666	0	1	0	0 + 0 part	0	98.946	1.000	0.00	1.60	0.15	1939802	3877373	1939802	1491127	1491127	1491127	1	2	2	2			no	no	no
Acinetobacter_AB30__bad_short__bad_long	hybrid	fake	bad	bad	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	scaffolds	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz --nanopore /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --careful --threads 8	auto	success	1313.2	Acinetobacter_AB30__bad_short__bad_long__SPAdes_scaffolds_3.9.1.fasta		132	88	64	50	39	24	4217443	4201740	4144119	4038740	3871882	3316816	100	465413	4209755	39.04	147577	147577	52822	50669	10	10	21	23	15	11	767795	13	28	0	0 + 2 part	5900	96.533	1.004	2.00	233.81	27.69	249957	4202069	93273	86001	47413	44022	13	14	28	31			no	no	no
