Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_AB30__bad_short	short-only	fake	bad		Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	3322.7	Acinetobacter_AB30__bad_short__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__bad_short__Unicycler_conservative_0.1.0.gfa	846	265	154	108	54	17	4062089	3930701	3679741	3326919	2419631	1170193	353	132143	3992376	38.93	30471	27793	16220	12054	39	45	83	101	1	1	2289	2	3	0	0 + 0 part	0	92.059	1.000	0.00	12.50	0.40	132143	3992325	30471	27793	16220	11694	39	45	83	102	38	4.46	no	no	no
Acinetobacter_AB30__good_short	short-only	fake	good		Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	1855.8	Acinetobacter_AB30__good_short__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__good_short__Unicycler_conservative_0.1.0.gfa	416	201	127	96	66	23	4126247	4062946	3865080	3645889	3199432	1738768	258	146133	4101837	38.98	43348	40109	25675	21934	30	33	62	69	0	0	0	0	0	0	0 + 0 part	0	94.604	1.000	0.00	0.12	0.07	146133	4101825	43348	40109	25675	21934	30	33	62	69	0	0.00	no	no	no
Acinetobacter_AB30__medium_short	short-only	fake	medium		Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	910.2	Acinetobacter_AB30__medium_short__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__medium_short__Unicycler_conservative_0.1.0.gfa	486	209	128	100	67	21	4114104	4029570	3827397	3629716	3139205	1590093	275	146101	4076315	38.98	39787	37387	25331	21218	32	35	64	72	0	0	0	0	0	0	0 + 0 part	0	94.015	1.000	0.00	0.25	0.12	146101	4076315	39787	37387	25331	21218	32	35	64	72	0	0.00	no	no	no
E_coli_K-12_MG1655__bad_short	short-only	fake	bad		E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	3576.7	E_coli_K-12_MG1655__bad_short__Unicycler_conservative_0.1.0.fasta	E_coli_K-12_MG1655__bad_short__Unicycler_conservative_0.1.0.gfa	1809	588	318	140	15	0	4528464	4393353	3665275	2384285	502767	0	683	44914	4461689	50.71	10638	10226	6504	5745	126	134	262	284	1	1	12779	0	1	0	0 + 0 part	0	96.116	1.000	0.00	6.93	0.07	44914	4461674	10572	10214	6504	5745	126	134	262	284	25	1.26	no	no	no
E_coli_K-12_MG1655__good_short	short-only	fake	good		E_coli_K-12_MG1655_good_illumina_1.fastq.gz, E_coli_K-12_MG1655_good_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	2012.3	E_coli_K-12_MG1655__good_short__Unicycler_conservative_0.1.0.fasta	E_coli_K-12_MG1655__good_short__Unicycler_conservative_0.1.0.gfa	176	79	57	53	45	29	4570349	4550080	4497996	4468127	4342287	3804948	91	327081	4559297	50.74	133036	133036	67358	64903	12	12	23	24	0	0	0	0	0	0	0 + 0 part	0	98.226	1.000	0.00	0.15	0.02	327081	4559297	133036	133036	67358	64903	12	12	23	24	0	0.00	no	no	no
E_coli_K-12_MG1655__medium_short	short-only	fake	medium		E_coli_K-12_MG1655_medium_illumina_1.fastq.gz, E_coli_K-12_MG1655_medium_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	1034.1	E_coli_K-12_MG1655__medium_short__Unicycler_conservative_0.1.0.fasta	E_coli_K-12_MG1655__medium_short__Unicycler_conservative_0.1.0.gfa	222	93	70	64	49	30	4565339	4542492	4488511	4443495	4204986	3565508	105	327050	4551282	50.74	123944	112599	57782	54849	13	14	28	29	0	0	0	0	0	0	0 + 0 part	0	98.053	1.000	0.00	0.24	0.02	327050	4551282	123944	112599	57782	54849	13	14	28	29	0	0.00	no	no	no
E_coli_O25b_H4-ST131__bad_short	short-only	fake	bad		E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	3958.6	E_coli_O25b_H4-ST131__bad_short__Unicycler_conservative_0.1.0.fasta	E_coli_O25b_H4-ST131__bad_short__Unicycler_conservative_0.1.0.gfa	774	270	176	127	63	27	5117639	5036905	4805901	4443236	3429308	2184724	315	189550	5069199	50.77	41212	37026	18210	16907	35	38	81	89	0	0	0	3	3	0	0 + 0 part	0	96.537	1.000	0.00	8.37	0.02	189550	5069066	39498	37026	17870	16851	36	38	82	90	51	6.38	no	no	no
E_coli_O25b_H4-ST131__good_short	short-only	fake	good		E_coli_O25b_H4-ST131_good_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_good_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_good_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	2244.0	E_coli_O25b_H4-ST131__good_short__Unicycler_conservative_0.1.0.fasta	E_coli_O25b_H4-ST131__good_short__Unicycler_conservative_0.1.0.gfa	246	105	61	45	31	24	5171019	5125642	5022018	4909469	4683024	4443072	144	512113	5153341	50.80	190934	163944	110872	109108	9	10	18	19	0	0	0	0	0	0	0 + 0 part	0	98.169	1.000	0.00	0.19	0.00	512113	5153339	190934	163944	110872	109108	9	10	18	19	0	0.00	no	no	no
E_coli_O25b_H4-ST131__medium_short	short-only	fake	medium		E_coli_O25b_H4-ST131_medium_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_medium_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_medium_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	1092.8	E_coli_O25b_H4-ST131__medium_short__Unicycler_conservative_0.1.0.fasta	E_coli_O25b_H4-ST131__medium_short__Unicycler_conservative_0.1.0.gfa	364	129	73	57	38	28	5163527	5108456	4981500	4865182	4561129	4206355	164	346618	5132519	50.79	142057	138805	98939	74689	12	13	23	24	0	0	0	0	0	0	0 + 0 part	0	97.773	1.000	0.00	0.53	0.02	346618	5132519	142057	138805	98939	74689	12	13	23	24	0	0.00	no	no	no
Klebsiella_NTUH-K2044__bad_short	short-only	fake	bad		Klebsiella_NTUH-K2044_bad_illumina_1.fastq.gz, Klebsiella_NTUH-K2044_bad_illumina_2.fastq.gz	Klebsiella_NTUH-K2044.fasta.gz	5472672	2	5248520, 224152	1.0, 1.0	yes, yes	57.37	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_NTUH-K2044/Klebsiella_NTUH-K2044_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Klebsiella_NTUH-K2044/Klebsiella_NTUH-K2044_bad_illumina_2.fastq.gz --no_long -o output --mode conservative --threads 8	auto	success	4331.2	Klebsiella_NTUH-K2044__bad_short__Unicycler_conservative_0.1.0.fasta	Klebsiella_NTUH-K2044__bad_short__Unicycler_conservative_0.1.0.gfa	882	285	208	155	69	25	5384139	5330265	5141572	4743828	3392375	1862826	302	128295	5342255	57.46	34269	33902	18068	16312	45	47	98	104	0	0	0	0	0	0	1 + 0 part	699	97.583	1.000	0.00	6.24	0.06	128295	5341500	34269	33902	18068	16312	45	47	98	104	42	4.52	no	no	no
