Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_AB30__bad_short__bad_long	hybrid	fake	bad	bad	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	success	2627.5	Acinetobacter_AB30__bad_short__bad_long__npScarf_with_graph_1.6-10a.fasta		9	9	9	9	7	6	4379150	4379150	4379150	4379150	4356359	4328845	9	2483951	4379150	39.05	2483951	2483951	958046	958046	1	1	2	2	33	8	4351636	38	71	0	0 + 3 part	18227	97.662	1.030	0.00	257.46	17.66	597436	4360701	157348	169642	94246	94246	9	8	17	17			no	no	no
Acinetobacter_AB30__bad_short__good_long	hybrid	fake	bad	good	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes		npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	fail																																																							
Acinetobacter_AB30__bad_short__medium_long	hybrid	fake	bad	medium	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	success	3633.9	Acinetobacter_AB30__bad_short__medium_long__npScarf_with_graph_1.6-10a.fasta		1	1	1	1	1	1	1780741	1780741	1780741	1780741	1780741	1780741	1	1780741	1780741	39.81	1780741		1780741		1		1		5	1	1780741	12	17	0	0 + 1 part	20633	40.572	1.001	0.00	248.99	41.38	597411	1760108	205252	-	136738		3		5				no	no	no
Acinetobacter_AB30__good_short__bad_long	hybrid	fake	good	bad	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes		npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	fail																																																							
Acinetobacter_AB30__good_short__good_long	hybrid	fake	good	good	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes		npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	fail																																																							
Acinetobacter_AB30__good_short__medium_long	hybrid	fake	good	medium	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	success	0.0	Acinetobacter_AB30__good_short__medium_long__npScarf_with_graph_1.6-10a.fasta		2	2	2	2	1	1	4351136	4351136	4351136	4351136	4340866	4340866	2	4340866	4351136	39.03	4340866	4340866	4340866	4340866	1	1	1	1	26	1	4340866	32	58	0	0 + 1 part	9017	99.300	1.009	0.00	65.71	5.76	811691	4342119	362676	362676	186653	192079	4	4	9	8			no	no	no
Acinetobacter_AB30__medium_short__bad_long	hybrid	fake	medium	bad	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	success	0.0	Acinetobacter_AB30__medium_short__bad_long__npScarf_with_graph_1.6-10a.fasta		2	2	2	2	1	1	1184457	1184457	1184457	1184457	1161351	1161351	2	1161351	1184457	38.84	1161351		1161351		1		1		9	1	1161351	6	15	0	0 + 2 part	2000	26.872	1.015	0.00	119.04	12.27	448749	1182457	369452	-	190491		2		3				no	no	no
Acinetobacter_AB30__medium_short__good_long	hybrid	fake	medium	good	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes		npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	fail																																																							
Acinetobacter_AB30__medium_short__medium_long	hybrid	fake	medium	medium	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes		npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	fail																																																							
E_coli_K-12_MG1655__bad_short__bad_long	hybrid	fake	bad	bad	E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz, E_coli_K-12_MG1655_bad_long.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	npScarf	with_graph	1.6-10a	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz --careful --threads 8 -o spades_assembly; jsa.seq.sort -r -n --input spades_assembly/contigs.fasta --output np_scarf.fasta; bwa index np_scarf.fasta; bwa mem -t8 -k11 -W20 -r10 -A1 -B1 -O1 -E1 -L0 -a -Y np_scarf.fasta /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_long.fastq.gz > alignments.sam; jsa.np.npscarf --bamFile alignments.sam --seqFile np_scarf.fasta --spadesDir spades_assembly	auto	success	1293.1	E_coli_K-12_MG1655__bad_short__bad_long__npScarf_with_graph_1.6-10a.fasta		9	9	9	9	7	6	4714481	4714481	4714481	4714481	4690323	4660955	9	1185240	4714481	50.76	1038620	1162250	656369	656369	3	2	4	4	9	5	3502127	35	44	0	0 + 2 part	4306	99.726	1.018	0.00	221.24	28.30	587398	4707492	168811	168811	115273	115273	9	9	17	17			no	no	no
