Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_AB30__bad_short__bad_long	hybrid	fake	bad	bad	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --mode bold --threads 8	auto	success	5948.9	Acinetobacter_AB30__bad_short__bad_long__Unicycler_bold_0.1.0.fasta	Acinetobacter_AB30__bad_short__bad_long__Unicycler_bold_0.1.0.gfa	28	20	17	13	11	8	4456941	4454825	4450072	4417602	4382834	4273598	22	1923898	4455983	39.05	928333	928333	393047	489180	2	2	4	3	4	3	587671	12	16	0	0 + 5 part	57487	99.724	1.017	0.00	52.38	42.12	997808	4398089	323236	323236	193432	200925	4	4	9	8	29	103.57	no	no	no
Acinetobacter_AB30__bad_short__good_long	hybrid	fake	bad	good	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz -o output --mode bold --threads 8	auto	success	15454.2	Acinetobacter_AB30__bad_short__good_long__Unicycler_bold_0.1.0.fasta	Acinetobacter_AB30__bad_short__good_long__Unicycler_bold_0.1.0.gfa	24	17	14	9	7	7	4403906	4402543	4395282	4352585	4315336	4315336	18	2317186	4403190	39.01	2317186	2317186	487815	972104	1	1	3	2	1	1	189459	6	7	0	0 + 2 part	1855	99.806	1.017	0.00	28.17	3.40	1486627	4400949	371198	371198	197981	230077	3	3	7	6	21	87.50	no	no	no
Acinetobacter_AB30__bad_short__medium_long	hybrid	fake	bad	medium	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz -o output --mode bold --threads 8	auto	success	9860.0	Acinetobacter_AB30__bad_short__medium_long__Unicycler_bold_0.1.0.fasta	Acinetobacter_AB30__bad_short__medium_long__Unicycler_bold_0.1.0.gfa	24	18	12	9	7	6	4434133	4432794	4420292	4397120	4373129	4335819	19	2969828	4433441	39.04	2969828	2969828	683182	683182	1	1	2	2	1	1	37310	9	10	0	0 + 1 part	2947	99.938	1.022	0.00	32.98	21.37	1001487	4429643	409652	409652	269044	269044	4	4	7	7	27	112.50	no	no	no
Acinetobacter_AB30__good_short__bad_long	hybrid	fake	good	bad	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --mode bold --threads 8	auto	success	4748.9	Acinetobacter_AB30__good_short__bad_long__Unicycler_bold_0.1.0.fasta	Acinetobacter_AB30__good_short__bad_long__Unicycler_bold_0.1.0.gfa	1	1	1	1	1	1	4335716	4335716	4335716	4335716	4335716	4335716	1	4335716	4335716	39.04	4335716	4335716	4335716	4335716	1	1	1	1	2	1	4335716	1	3	0	0 + 1 part	822	99.944	1.000	0.00	5.95	0.42	2815005	4334894	2815005	2815005	857900	857900	1	1	2	2	0	0.00	yes	no	no
Acinetobacter_AB30__good_short__good_long	hybrid	fake	good	good	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz -o output --mode bold --threads 8	auto	success	12457.8	Acinetobacter_AB30__good_short__good_long__Unicycler_bold_0.1.0.fasta	Acinetobacter_AB30__good_short__good_long__Unicycler_bold_0.1.0.gfa	1	1	1	1	1	1	4335769	4335769	4335769	4335769	4335769	4335769	1	4335769	4335769	39.04	4335769	4335769	4335769	4335769	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	3.25	0.23	4335769	4335769	4335769	4335769	4335769	4335769	1	1	1	1	0	0.00	yes	yes	no
Acinetobacter_AB30__good_short__medium_long	hybrid	fake	good	medium	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz -o output --mode bold --threads 8	auto	success	6640.8	Acinetobacter_AB30__good_short__medium_long__Unicycler_bold_0.1.0.fasta	Acinetobacter_AB30__good_short__medium_long__Unicycler_bold_0.1.0.gfa	1	1	1	1	1	1	4335757	4335757	4335757	4335757	4335757	4335757	1	4335757	4335757	39.04	4335757	4335757	4335757	4335757	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	3.25	0.23	4335757	4335757	4335757	4335757	4335757	4335757	1	1	1	1	0	0.00	yes	yes	no
Acinetobacter_AB30__medium_short__bad_long	hybrid	fake	medium	bad	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --mode bold --threads 8	auto	success	4951.9	Acinetobacter_AB30__medium_short__bad_long__Unicycler_bold_0.1.0.fasta	Acinetobacter_AB30__medium_short__bad_long__Unicycler_bold_0.1.0.gfa	3	2	1	1	1	1	4336419	4336360	4332402	4332402	4332402	4332402	2	4332402	4336360	39.04	4332402	4332402	4332402	4332402	1	1	1	1	0	0	0	2	2	0	0 + 1 part	1363	99.981	1.000	0.00	7.04	0.58	3303295	4334951	3303295	3303295	3303295	3303295	1	1	1	1	0	0.00	no	no	no
Acinetobacter_AB30__medium_short__good_long	hybrid	fake	medium	good	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz -o output --mode bold --threads 8	auto	success	11565.5	Acinetobacter_AB30__medium_short__good_long__Unicycler_bold_0.1.0.fasta	Acinetobacter_AB30__medium_short__good_long__Unicycler_bold_0.1.0.gfa	1	1	1	1	1	1	4327147	4327147	4327147	4327147	4327147	4327147	1	4327147	4327147	39.04	4327147	4327147	4327147	4327147	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	99.801	1.000	0.00	3.67	0.35	4327147	4327147	4327147	4327147	4327147	4327147	1	1	1	1	2	200.00	yes	yes	no
Acinetobacter_AB30__medium_short__medium_long	hybrid	fake	medium	medium	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz -o output --mode bold --threads 8	auto	success	6446.0	Acinetobacter_AB30__medium_short__medium_long__Unicycler_bold_0.1.0.fasta	Acinetobacter_AB30__medium_short__medium_long__Unicycler_bold_0.1.0.gfa	1	1	1	1	1	1	4335728	4335728	4335728	4335728	4335728	4335728	1	4335728	4335728	39.04	4335728	4335728	4335728	4335728	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	4.01	0.46	4335728	4335728	4335728	4335728	4335728	4335728	1	1	1	1	0	0.00	yes	yes	no
E_coli_K-12_MG1655__bad_short__bad_long	hybrid	fake	bad	bad	E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz, E_coli_K-12_MG1655_bad_long.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Unicycler	bold	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_long.fastq.gz -o output --mode bold --threads 8	auto	success	10066.6	E_coli_K-12_MG1655__bad_short__bad_long__Unicycler_bold_0.1.0.fasta	E_coli_K-12_MG1655__bad_short__bad_long__Unicycler_bold_0.1.0.gfa	38	8	7	7	7	7	4647761	4644428	4641449	4641449	4641449	4641449	9	2059730	4645251	50.79	817192	817192	648648	648648	2	2	3	3	1	1	105335	5	6	0	0 + 1 part	1740	99.944	1.001	0.00	24.42	8.84	1107931	4643170	486375	486375	466805	466805	4	4	6	6	12	31.58	no	no	no
