Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_AB30__bad_short__bad_long	hybrid	fake	bad	bad	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --mode conservative --threads 8	auto	success	6524.3	Acinetobacter_AB30__bad_short__bad_long__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__bad_short__bad_long__Unicycler_conservative_0.1.0.gfa	227	44	29	22	15	14	4404021	4371893	4344721	4295320	4179515	4153663	60	926148	4383383	39.02	401216	401216	261423	308834	4	4	8	7	4	4	499996	8	12	0	0 + 4 part	52859	98.358	1.015	0.00	58.39	49.90	429991	4328632	255674	255674	152325	152325	7	7	12	12	22	9.69	no	no	no
Acinetobacter_AB30__bad_short__good_long	hybrid	fake	bad	good	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz -o output --mode conservative --threads 8	auto	success	16041.1	Acinetobacter_AB30__bad_short__good_long__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__bad_short__good_long__Unicycler_conservative_0.1.0.gfa	157	36	21	15	10	10	4440768	4414157	4383138	4335584	4252705	4252705	51	1492094	4425870	39.03	822879	822879	264378	278126	2	2	5	4	2	2	4061	6	8	0	0 + 2 part	1855	99.093	1.030	0.00	35.03	3.19	822879	4423545	316642	316642	197981	197981	4	4	8	8	18	11.46	no	no	no
Acinetobacter_AB30__bad_short__medium_long	hybrid	fake	bad	medium	Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz -o output --mode conservative --threads 8	auto	success	10488.8	Acinetobacter_AB30__bad_short__medium_long__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__bad_short__medium_long__Unicycler_conservative_0.1.0.gfa	157	36	19	14	12	12	4412868	4392169	4357302	4320713	4285019	4285019	47	899881	4400357	39.04	429991	429991	392980	392980	4	4	6	6	1	1	1595	8	9	0	0 + 2 part	2944	99.217	1.022	0.00	29.29	4.30	674315	4395358	392972	392972	197981	197981	5	5	9	9	22	14.01	no	no	no
Acinetobacter_AB30__good_short__bad_long	hybrid	fake	good	bad	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --mode conservative --threads 8	auto	success	4963.4	Acinetobacter_AB30__good_short__bad_long__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__good_short__bad_long__Unicycler_conservative_0.1.0.gfa	91	16	6	5	5	5	4319610	4301294	4277784	4269200	4269200	4269200	32	1899585	4313386	39.02	1554634	1554634	1554634	1554634	2	2	2	2	0	0	0	1	1	0	0 + 1 part	822	99.169	1.003	0.00	3.65	0.28	1621827	4312564	1554634	1554634	361710	361710	2	2	3	3	0	0.00	no	no	no
Acinetobacter_AB30__good_short__good_long	hybrid	fake	good	good	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz -o output --mode conservative --threads 8	auto	success	12812.1	Acinetobacter_AB30__good_short__good_long__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__good_short__good_long__Unicycler_conservative_0.1.0.gfa	1	1	1	1	1	1	4335769	4335769	4335769	4335769	4335769	4335769	1	4335769	4335769	39.04	4335769	4335769	4335769	4335769	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	3.25	0.23	4335769	4335769	4335769	4335769	4335769	4335769	1	1	1	1	0	0.00	yes	yes	no
Acinetobacter_AB30__good_short__medium_long	hybrid	fake	good	medium	Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz -o output --mode conservative --threads 8	auto	success	6861.1	Acinetobacter_AB30__good_short__medium_long__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__good_short__medium_long__Unicycler_conservative_0.1.0.gfa	8	3	3	2	2	2	4335757	4334502	4334502	4325917	4325917	4325917	4	3307333	4335322	39.04	3307333	3307333	3307333	3307333	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	99.971	1.000	0.00	1.45	0.23	3307333	4335322	3307333	3307333	3307333	3307333	1	1	1	1	0	0.00	no	no	no
Acinetobacter_AB30__medium_short__bad_long	hybrid	fake	medium	bad	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_bad_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_long.fastq.gz -o output --mode conservative --threads 8	auto	success	5010.2	Acinetobacter_AB30__medium_short__bad_long__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__medium_short__bad_long__Unicycler_conservative_0.1.0.gfa	82	13	5	4	4	4	4326452	4310058	4292155	4284332	4284332	4284332	25	1926356	4318853	39.02	1899526	1899526	1899526	1899526	2	2	2	2	0	0	0	2	2	0	0 + 2 part	1363	99.332	1.002	0.00	7.01	0.35	1621784	4317490	1568306	1568306	363793	363793	2	2	3	3	0	0.00	no	no	no
Acinetobacter_AB30__medium_short__good_long	hybrid	fake	medium	good	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_good_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_long.fastq.gz -o output --mode conservative --threads 8	auto	success	11792.0	Acinetobacter_AB30__medium_short__good_long__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__medium_short__good_long__Unicycler_conservative_0.1.0.gfa	45	8	1	1	1	1	4332111	4321807	4306414	4306414	4306414	4306414	16	4306414	4327611	39.04	4306414	4306414	4306414	4306414	1	1	1	1	0	0	0	0	0	0	0 + 0 part	0	99.597	1.002	0.00	4.26	0.30	4306414	4327611	4306414	4306414	4306414	4306414	1	1	1	1	0	0.00	no	no	no
Acinetobacter_AB30__medium_short__medium_long	hybrid	fake	medium	medium	Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz, Acinetobacter_AB30_medium_long.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_long.fastq.gz -o output --mode conservative --threads 8	auto	success	6669.5	Acinetobacter_AB30__medium_short__medium_long__Unicycler_conservative_0.1.0.fasta	Acinetobacter_AB30__medium_short__medium_long__Unicycler_conservative_0.1.0.gfa	24	6	4	2	2	2	4335725	4330424	4328244	4315261	4315261	4315261	10	3212466	4333523	39.04	3212466	3212466	1102795	1102795	1	1	2	2	0	0	0	0	0	0	0 + 0 part	0	99.889	1.001	0.00	2.66	0.42	3212466	4333523	3212466	3212466	1102795	1102795	1	1	2	2	0	0.00	no	no	no
E_coli_K-12_MG1655__bad_short__bad_long	hybrid	fake	bad	bad	E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz, E_coli_K-12_MG1655_bad_long.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	Unicycler	conservative	0.1.0	unicycler-runner.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz -l /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_long.fastq.gz -o output --mode conservative --threads 8	auto	success	9941.4	E_coli_K-12_MG1655__bad_short__bad_long__Unicycler_conservative_0.1.0.fasta	E_coli_K-12_MG1655__bad_short__bad_long__Unicycler_conservative_0.1.0.gfa	225	30	25	21	19	18	4645492	4636720	4624135	4597389	4559318	4512025	35	554001	4640576	50.80	307625	307625	190237	190237	5	5	10	10	1	1	105335	3	4	0	0 + 1 part	1734	99.785	1.002	0.00	21.05	6.28	554001	4637878	307619	307619	180013	180013	5	5	11	11	14	6.22	no	no	no
