Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_A1__bad_short	short-only	fake	bad		Acinetobacter_A1_bad_illumina_1.fastq.gz, Acinetobacter_A1_bad_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes		ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	fail																																																							
Acinetobacter_A1__good_short	short-only	fake	good		Acinetobacter_A1_good_illumina_1.fastq.gz, Acinetobacter_A1_good_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	success	986.6	Acinetobacter_A1__good_short__ABySS_contigs_1.9.0.fasta	Acinetobacter_A1__good_short__ABySS_contigs_1.9.0.gfa	100	28	25	22	21	18	3990236	3982653	3974429	3949418	3929966	3807430	28	483686	3982653	39.36	355405	355405	170225	170225	5	5	10	10	0	0	0	0	0	0	0 + 0 part	0	99.504	1.022	5.67	3.16	0.23	483686	3982367	355405	355405	170225	170225	5	5	10	10	3	3.00	no	no	no
Acinetobacter_A1__medium_short	short-only	fake	medium		Acinetobacter_A1_medium_illumina_1.fastq.gz, Acinetobacter_A1_medium_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	success	193.7	Acinetobacter_A1__medium_short__ABySS_contigs_1.9.0.fasta	Acinetobacter_A1__medium_short__ABySS_contigs_1.9.0.gfa	90	28	25	22	21	18	3919231	3912088	3904475	3879464	3860012	3742764	29	678568	3912934	39.36	355405	355405	170225	170225	5	5	9	9	1	1	678568	0	1	0	0 + 0 part	0	98.709	1.012	3.78	3.26	0.26	483684	3912762	355405	355405	170225	170225	5	5	10	10	15	16.67	no	no	no
Acinetobacter_AB30__bad_short	short-only	fake	bad		Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes		ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	fail																																																							
Acinetobacter_AB30__good_short	short-only	fake	good		Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	success	1233.4	Acinetobacter_AB30__good_short__ABySS_contigs_1.9.0.fasta	Acinetobacter_AB30__good_short__ABySS_contigs_1.9.0.gfa	304	201	142	106	68	25	4480097	4462942	4297386	4032917	3463632	1932238	203	147341	4464761	39.10	43802	44872	28277	29090	32	31	64	61	0	0	0	0	0	0	0 + 0 part	0	98.658	1.044	7.57	19.12	0.47	147341	4464761	43802	44872	28277	29090	32	31	64	61	80	26.32	no	no	no
Acinetobacter_AB30__medium_short	short-only	fake	medium		Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	success	231.2	Acinetobacter_AB30__medium_short__ABySS_contigs_1.9.0.fasta	Acinetobacter_AB30__medium_short__ABySS_contigs_1.9.0.gfa	300	216	142	109	67	25	4525144	4508524	4294616	4060283	3434219	1923429	224	147772	4514807	39.06	41684	45199	26045	29381	33	31	66	61	0	0	0	2	2	0	0 + 0 part	0	98.915	1.053	8.97	20.87	0.42	147772	4514508	40919	41684	26045	29295	34	32	67	63	64	21.33	no	no	no
E_coli_K-12_MG1655__bad_short	short-only	fake	bad		E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes		ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	fail																																																							
E_coli_K-12_MG1655__good_short	short-only	fake	good		E_coli_K-12_MG1655_good_illumina_1.fastq.gz, E_coli_K-12_MG1655_good_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	success	1271.2	E_coli_K-12_MG1655__good_short__ABySS_contigs_1.9.0.fasta	E_coli_K-12_MG1655__good_short__ABySS_contigs_1.9.0.gfa	153	72	60	53	45	28	4681698	4669276	4641583	4593182	4480708	3882651	74	328378	4670721	50.80	150749	150749	80392	80392	11	11	22	22	0	0	0	0	0	0	0 + 0 part	0	99.303	1.013	3.96	3.21	0.09	328378	4670318	150749	150749	80392	80392	11	11	22	22	71	46.41	no	no	no
E_coli_K-12_MG1655__medium_short	short-only	fake	medium		E_coli_K-12_MG1655_medium_illumina_1.fastq.gz, E_coli_K-12_MG1655_medium_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	success	282.2	E_coli_K-12_MG1655__medium_short__ABySS_contigs_1.9.0.fasta	E_coli_K-12_MG1655__medium_short__ABySS_contigs_1.9.0.gfa	159	76	61	53	45	29	4685249	4671988	4639971	4584378	4462244	3904659	80	328378	4674824	50.79	135012	135012	80392	80392	12	12	23	23	0	0	0	0	0	0	0 + 0 part	0	99.247	1.015	8.41	3.36	0.09	328378	4673408	135012	135012	80392	80392	12	12	23	23	53	33.33	no	no	no
E_coli_O25b_H4-ST131__bad_short	short-only	fake	bad		E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes		ABySS	contigs	1.9.0	abyss-pe k=64 j=8 graph=gfa in='/scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz' name=run; cp --remove-destination $(readlink run-contigs.fa) run-contigs.fa; cp --remove-destination $(readlink run-contigs.gfa) run-contigs.gfa	64	fail																																																							
