Read set name	Read set type	Real or fake reads	Fake Illumina read quality	Fake long read quality	Read files	Reference name	Reference total length	# reference sequences	Reference sequence lengths	Reference sequence depths	Reference sequence circularity	Reference GC (%)	Assembler	Assembler setting/output	Assembler version	Assembly command(s)	Assembly kmer size	Assembly result	Assembly time (seconds)	Assembly FASTA	Assembly graph	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	Total misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	Dead ends	Percent dead ends	Complete	Structurally perfect	Completely perfect
Acinetobacter_A1__bad_short	short-only	fake	bad		Acinetobacter_A1_bad_illumina_1.fastq.gz, Acinetobacter_A1_bad_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1166.5	Acinetobacter_A1__bad_short__SPAdes_contigs_3.9.1.fasta		178	61	52	46	39	26	3824600	3809156	3790246	3744649	3615016	3165515	66	379591	3812463	39.13	119636	119636	53394	52835	9	9	21	22	3	3	421531	6	9	0	0 + 0 part	0	97.197	1.001	0.00	219.23	1.08	379591	3810416	93712	93712	51492	50113	11	11	24	26			no	no	no
Acinetobacter_A1__good_short	short-only	fake	good		Acinetobacter_A1_good_illumina_1.fastq.gz, Acinetobacter_A1_good_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_good_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	877.4	Acinetobacter_A1__good_short__SPAdes_contigs_3.9.1.fasta		78	30	22	20	18	14	3840785	3833730	3812443	3798077	3756189	3613845	32	1685544	3835323	39.14	276487	276487	159048	159048	2	2	7	7	0	0	0	5	5	0	0 + 0 part	0	97.841	1.001	0.00	1.17	0.21	1005592	3835049	254301	243203	134414	134414	3	4	9	9			no	no	no
Acinetobacter_A1__medium_short	short-only	fake	medium		Acinetobacter_A1_medium_illumina_1.fastq.gz, Acinetobacter_A1_medium_illumina_2.fastq.gz	Acinetobacter_A1.fasta.gz	3917739	2	3909008, 8731	1.0, 1.5	yes, yes	39.28	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_A1/Acinetobacter_A1_medium_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	305.9	Acinetobacter_A1__medium_short__SPAdes_contigs_3.9.1.fasta		115	42	32	30	27	20	3835038	3825700	3800161	3785850	3732280	3472794	45	379672	3827482	39.13	193791	193791	151107	138769	7	7	12	13	1	1	376175	5	6	0	0 + 0 part	0	97.653	1.000	0.00	6.43	0.29	379672	3827177	174535	166526	109027	109027	7	8	14	14			no	no	no
Acinetobacter_AB30__bad_short	short-only	fake	bad		Acinetobacter_AB30_bad_illumina_1.fastq.gz, Acinetobacter_AB30_bad_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1057.7	Acinetobacter_AB30__bad_short__SPAdes_contigs_3.9.1.fasta		315	213	134	103	66	20	4090125	4047081	3860465	3634915	3059726	1462260	254	132230	4076026	39.00	40092	37211	25027	19649	33	37	66	75	8	7	158712	6	14	0	0 + 0 part	0	93.809	1.002	0.00	230.27	0.93	132230	4072759	37324	35481	22513	16293	36	39	71	81			no	no	no
Acinetobacter_AB30__good_short	short-only	fake	good		Acinetobacter_AB30_good_illumina_1.fastq.gz, Acinetobacter_AB30_good_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_good_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	756.5	Acinetobacter_AB30__good_short__SPAdes_contigs_3.9.1.fasta		263	183	130	101	66	25	4137392	4099838	3979669	3765027	3233261	1833669	221	146160	4126648	38.98	43425	41667	27137	23802	31	33	61	67	1	1	9759	4	5	0	0 + 0 part	0	95.040	1.001	0.00	3.93	0.17	146160	4126648	43425	40136	26615	22010	31	34	62	69			no	no	no
Acinetobacter_AB30__medium_short	short-only	fake	medium		Acinetobacter_AB30_medium_illumina_1.fastq.gz, Acinetobacter_AB30_medium_illumina_2.fastq.gz	Acinetobacter_AB30.fasta.gz	4335793	1	4335793	1.0	yes	39.04	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/Acinetobacter_AB30/Acinetobacter_AB30_medium_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	303.2	Acinetobacter_AB30__medium_short__SPAdes_contigs_3.9.1.fasta		306	184	134	106	67	22	4124723	4076129	3961653	3757099	3159722	1603142	226	146116	4105765	38.98	40092	39402	25882	21239	33	35	64	72	1	1	1448	3	4	0	0 + 0 part	0	94.613	1.001	0.00	4.07	0.54	146116	4105753	40092	38907	25395	21239	33	36	65	72			no	no	no
E_coli_K-12_MG1655__bad_short	short-only	fake	bad		E_coli_K-12_MG1655_bad_illumina_1.fastq.gz, E_coli_K-12_MG1655_bad_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1141.8	E_coli_K-12_MG1655__bad_short__SPAdes_contigs_3.9.1.fasta		155	110	86	71	52	29	4556495	4545583	4492444	4376531	4081390	3207504	117	269782	4550630	50.74	89992	89992	46128	43809	17	17	34	35	6	5	267990	7	13	0	0 + 1 part	644	97.967	1.001	0.00	195.24	0.48	269779	4549081	80785	80785	42046	40911	19	19	40	41			no	no	no
E_coli_K-12_MG1655__good_short	short-only	fake	good		E_coli_K-12_MG1655_good_illumina_1.fastq.gz, E_coli_K-12_MG1655_good_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_good_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	811.2	E_coli_K-12_MG1655__good_short__SPAdes_contigs_3.9.1.fasta		112	71	53	49	43	28	4576751	4562276	4521681	4490043	4392340	3875051	84	327173	4571844	50.75	148513	148513	83050	83050	11	11	22	22	0	0	0	12	12	0	0 + 0 part	0	98.411	1.001	0.00	1.12	0.11	327173	4571777	117661	117661	61301	57964	13	13	26	27			no	no	no
E_coli_K-12_MG1655__medium_short	short-only	fake	medium		E_coli_K-12_MG1655_medium_illumina_1.fastq.gz, E_coli_K-12_MG1655_medium_illumina_2.fastq.gz	E_coli_K-12_MG1655.fasta.gz	4641652	1	4641652	1.0	yes	50.79	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_K-12_MG1655/E_coli_K-12_MG1655_medium_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	324.8	E_coli_K-12_MG1655__medium_short__SPAdes_contigs_3.9.1.fasta		145	80	59	54	47	31	4570981	4557063	4512336	4474564	4373190	3805373	87	327160	4562243	50.75	117617	112960	66131	64979	12	13	25	26	0	0	0	9	9	0	0 + 0 part	0	98.236	1.001	0.00	0.96	0.18	269983	4562241	112960	112393	57177	54881	13	14	28	29			no	no	no
E_coli_O25b_H4-ST131__bad_short	short-only	fake	bad		E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz, E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz	E_coli_O25b_H4-ST131.fasta.gz	5249449	3	5109767, 135602, 4080	1.0, 1.0, 20.0	yes, yes, yes	50.81	SPAdes	contigs	3.9.1	spades.py -1 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_1.fastq.gz -2 /scratch/sysgen/rwick/Unicycler-assembly-tests/synthetic_reads/E_coli_O25b_H4-ST131/E_coli_O25b_H4-ST131_bad_illumina_2.fastq.gz -o output --careful --threads 8	auto	success	1378.0	E_coli_O25b_H4-ST131__bad_short__SPAdes_contigs_3.9.1.fasta		199	123	76	58	43	33	5134270	5109385	4985158	4855388	4589746	4245514	139	319162	5120534	50.78	131298	131298	74962	67927	15	15	27	29	7	7	262705	10	17	0	0 + 0 part	0	97.481	1.001	0.00	247.18	1.25	223076	5120097	113660	111344	67073	62417	17	18	32	33			no	no	no
